participante,edad,sexo,num_ensayo,tipo_metafora,texto_metafora,relacion,sujeto,objeto,palabras_presentadas,q_sujeto_participante,q_objeto_participante,config_valida,configs_validas,total_score,parcial_score,respuesta_boton,rt_lectura_s,rt_inferencia_s,fecha_hora
001,19,Masculino,1,determinada,La raíz se esconde bajo la tierra húmeda fértil,bajo,Raíz,Tierra,Raíz|Tierra,3,1,True,"[(3, 1), (3, 2), (4, 1), (4, 2)]",100.0,100.0,Listo,41.3834,6.1336,2026-05-10 10:57:58
001,19,Masculino,2,indeterminada,El lápiz encuentra la taza desde un rincón lejano,diagonal_o_lateral,Lápiz,Taza,Lápiz|Taza,2,3,True,"[(1, 4), (4, 1), (2, 3), (3, 2), (1, 2), (2, 1), (3, 4), (4, 3)]",100.0,100.0,Listo,12.6545,38.2625,2026-05-10 10:58:51
001,19,Masculino,3,indeterminada,La libreta descansa frente al teléfono en calma leve,lateral_superior,Libreta,Teléfono,Libreta|Teléfono,3,1,False,"[(1, 2), (2, 1)]",0.0,50.0,Listo,12.5302,27.1748,2026-05-10 10:59:32
001,19,Masculino,4,determinada,La taza permanece a la izquierda del cuaderno abierto,izquierda,Taza,Cuaderno,Cuaderno|Taza,,,False,"[(1, 2), (1, 4), (3, 2), (3, 4)]",0.0,0.0,No se puede determinar,13.3815,1.4064,2026-05-10 10:59:48
001,19,Masculino,5,indeterminada,El violín espía la silla desde un ángulo difuso,indeterminada,Violín,Silla,Violín|Silla,,,False,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",0.0,0.0,No se puede determinar,8.2079,1.7375,2026-05-10 11:00:00
001,19,Masculino,6,indeterminada,La duda se disuelve en el aire tenue ligero,indeterminada,Duda,Aire,Aire|Duda,,,False,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",0.0,0.0,No se puede determinar,11.4042,2.8848,2026-05-10 11:00:15
001,19,Masculino,7,indeterminada,El papel vigila la vela desde una esquina oscura,indeterminada,Papel,Vela,Papel|Vela,3,2,True,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",100.0,100.0,Listo,5.4362,5.9015,2026-05-10 11:00:28
001,19,Masculino,8,determinada,El mapa descansa sobre la mesa amplia ordenada,sobre,Mapa,Mesa,Mapa|Mesa,1,3,True,"[(1, 3), (1, 4), (2, 3), (2, 4)]",100.0,100.0,Listo,6.7127,9.3286,2026-05-10 11:00:46
001,19,Masculino,9,determinada,La silla respira a la derecha del espejo frío,derecha,Silla,Espejo,Silla|Espejo,4,3,True,"[(2, 1), (2, 3), (4, 1), (4, 3)]",100.0,100.0,Listo,3.5871,6.2041,2026-05-10 11:00:57
001,19,Masculino,10,indeterminada,El foco espía al cuaderno desde un rincón silencioso,diagonal_o_lateral,Foco,Cuaderno,Foco|Cuaderno,2,3,True,"[(1, 4), (4, 1), (2, 3), (3, 2), (1, 2), (2, 1), (3, 4), (4, 3)]",100.0,100.0,Listo,12.4266,5.9544,2026-05-10 11:01:17
