participante,edad,sexo,num_ensayo,tipo_metafora,texto_metafora,relacion,sujeto,objeto,palabras_presentadas,q_sujeto_participante,q_objeto_participante,config_valida,configs_validas,total_score,parcial_score,respuesta_boton,rt_lectura_s,rt_inferencia_s,fecha_hora
004,21,Femenino,1,indeterminada,El reloj persigue la taza desde una esquina incierta,diagonal_o_lateral,Reloj,Taza,Reloj|Taza,1,4,True,"[(1, 4), (4, 1), (2, 3), (3, 2), (1, 2), (2, 1), (3, 4), (4, 3)]",100.0,100.0,Listo,15.6123,7.2106,2026-05-19 23:45:00
004,21,Femenino,2,indeterminada,La ventana escucha al zapato desde un rincón olvidado,indeterminada,Ventana,Zapato,Ventana|Zapato,4,1,True,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",100.0,100.0,Listo,26.9234,13.5852,2026-05-19 23:45:42
004,21,Femenino,3,determinada,El espejo vive a la derecha del jarrón antiguo,derecha,Espejo,Jarrón,Espejo|Jarrón,2,1,True,"[(2, 1), (2, 3), (4, 1), (4, 3)]",100.0,100.0,Listo,19.3054,38.5463,2026-05-19 23:46:41
004,21,Femenino,4,determinada,La taza permanece a la izquierda del cuaderno abierto,izquierda,Taza,Cuaderno,Cuaderno|Taza,1,2,True,"[(1, 2), (1, 4), (3, 2), (3, 4)]",100.0,100.0,Listo,19.9737,15.0618,2026-05-19 23:47:18
004,21,Femenino,5,indeterminada,El libro encuentra la taza desde un rincón incierto,indeterminada,Libro,Taza,Libro|Taza,1,4,True,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",100.0,100.0,No se puede determinar,25.801,5.8768,2026-05-19 23:47:51
004,21,Femenino,6,determinada,El cuadro observa desde la izquierda a la mesa,izquierda,Cuadro,Mesa,Mesa|Cuadro,3,4,True,"[(1, 2), (1, 4), (3, 2), (3, 4)]",100.0,100.0,Listo,7.3873,4.7464,2026-05-19 23:48:05
004,21,Femenino,7,determinada,La llave encaja dentro del candado cerrado metálico,dentro,Llave,Candado,Candado|Llave,3,4,True,"[(1, 2), (2, 1), (1, 3), (3, 1), (2, 4), (4, 2), (3, 4), (4, 3)]",100.0,100.0,Listo,11.7633,5.8319,2026-05-19 23:48:24
004,21,Femenino,8,determinada,El techo protege sobre las paredes firmes del hogar,sobre,Techo,Paredes,Techo|Paredes,1,3,True,"[(1, 3), (1, 4), (2, 3), (2, 4)]",100.0,100.0,Listo,4.8703,5.0096,2026-05-19 23:48:35
004,21,Femenino,9,determinada,El libro reposa abajo a la izquierda de la taza,abajo,Libro,Taza,Taza|Libro,3,2,True,"[(3, 1), (3, 2), (4, 1), (4, 2)]",100.0,100.0,Listo,17.7406,6.5652,2026-05-19 23:49:01
004,21,Femenino,10,determinada,La raíz se esconde bajo la tierra húmeda fértil,bajo,Raíz,Tierra,Raíz|Tierra,3,1,True,"[(3, 1), (3, 2), (4, 1), (4, 2)]",100.0,100.0,Listo,14.2938,4.3948,2026-05-19 23:49:21
004,21,Femenino,11,determinada,La nube flota arriba del valle verde iluminado,arriba,Nube,Valle,Nube|Valle,1,3,True,"[(1, 3), (1, 4), (2, 3), (2, 4)]",100.0,100.0,Listo,4.7312,3.8541,2026-05-19 23:49:31
